test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%); coverage (%);begin_used_cpu;batteryremaining;cpu1load;cpu4load;begin_main_cpu_freq;cpu3frequency;begin_nr_procceses;begin_nr_files_keyboard_folder;end_ischarging;memoryusage;end_used_mem_kernel;cpu1frequency;cpu2load;cpuloadnormalized;end_main_cpu_freq;end_battery_temperature;end_used_cpu;begin_keyboard;batterystatus;begin_battery_temperature;begin_used_mem_kernel;cpuload;batterypower;end_nr_files_keyboard_folder;applicationstate;begin_ischarging;begin_used_mem_pss;gpuload;cpu4frequency;gpufrequency;begin_battery_level;cpu3load;elapsedtime;screenbrightness;end_used_mem_pss;end_battery_level;begin_battery_voltage;end_keyboard;cpu2frequency;description;end_battery_voltage;end_nr_procceses;energyconsumed;total_loc;total_complexity;total_loc_java;total_loc_kotlin;total_traced_methods;total_coverage;timestamp_begin_begin;used_cpu_begin_begin;used_mem_pss_begin_begin;used_mem_kernel_begin_begin;nr_processes_begin_begin;ischarging_begin_begin;battery_level_begin_begin;battery_temperature_begin_begin;keyboard_begin_begin;battery_voltage_begin_begin;screen_state_begin_begin;screen_brightness_begin_begin;wifi_begin_begin;bluetooth_begin_begin;hotspot_begin_begin;nfc_begin_begin;gps_begin_begin;speaker_begin_begin;timestampendend;used_cpuendend;used_mem_pssendend;used_mem_kernelendend;nr_processesendend;ischargingendend;battery_levelendend;battery_temperatureendend;keyboardendend;battery_voltageendend;screen_stateendend;screen_brightnessendend;wifiendend;bluetoothendend;hotspotendend;nfcendend;gpsendend;speakerendend;perf_issues;red_apis;app_category
16;4.577008476171352;5869;20.49;1505354.58;0.00;0.0;9.94;100.00;12.00;0.00;-1;0.00;0;-1;1;1505354.58;95100;1190400.00;0.00;20.49;-1;363;9.94;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;95100;10.00;144090.00;-1;1.00;1;528537;0.00;0.00;200000.00;100;0.00;5869;1.00;528537;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.577008476171352;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
346346;4.591961853338161;5365;22.96;1503571.11;1.57;0.0;9.44;100.00;0.00;0.00;-1;0.00;0;-1;1;1503571.11;92572;960000.00;0.00;22.96;-1;363;9.44;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92572;16.00;80178.00;-1;1.00;1;529936;1.57;0.00;200000.00;100;0.00;5365;1.00;529936;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.591961853338161;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
2018;4.199090557740075;4962;22.20;1501859.36;1.58;0.0;9.53;100.00;0.00;0.00;-1;0.00;0;-1;1;1501859.36;92504;960000.00;0.00;22.20;-1;363;9.53;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92504;5.00;108161.00;-1;1.00;1;529164;1.58;0.00;200000.00;100;0.00;4962;1.00;529164;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.199090557740075;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
11099507;5.457393091064924;5889;25.07;1504554.98;7.58;0.0;9.44;100.00;0.00;0.00;-1;0.00;0;-1;1;1504554.98;92612;960000.00;0.00;25.07;-1;363;9.44;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92612;13.00;129887.00;-1;1.00;1;533506;7.58;0.00;200000.00;100;0.00;5889;1.00;533506;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1190400.00;0.00;4331;0;5.457393091064924;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
3522366;4.861441043307241;5657;22.60;1507089.26;1.89;0.0;9.79;100.00;0.00;0.00;-1;0.00;0;-1;1;1507089.26;92588;960000.00;0.00;22.60;-1;363;9.79;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92588;20.00;307421.00;-1;1.00;1;530913;1.89;0.00;200000.00;100;0.00;5657;1.00;530913;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1190400.00;0.00;4331;0;4.861441043307241;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
3452356;4.218301842629476;5150;22.20;1507722.82;2.06;0.0;9.76;100.00;0.00;0.00;-1;0.00;0;-1;1;1507722.82;95136;960000.00;0.00;22.20;-1;363;9.76;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;95136;20.00;91992.00;-1;1.00;1;529622;2.06;0.00;200000.00;100;0.00;5150;1.00;529622;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1267200.00;0.00;4331;0;4.218301842629476;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
455678;4.914997543359388;5318;25.47;1506201.51;7.13;0.0;9.46;100.00;6.00;0.00;-1;0.00;0;-1;1;1506201.51;92604;960000.00;0.00;25.47;-1;363;9.46;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92604;6.00;44671.00;-1;1.00;1;533328;7.13;0.00;200000.00;100;0.00;5318;1.00;533328;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1267200.00;0.00;4331;0;4.914997543359388;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
32477;4.243992053618604;5075;22.27;1502673.96;2.94;0.0;9.35;100.00;10.00;0.00;-1;0.00;0;-1;1;1502673.96;92572;1267200.00;0.00;22.27;-1;363;9.35;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92572;4.00;158293.00;-1;1.00;1;528523;2.94;0.00;200000.00;100;0.00;5075;1.00;528523;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.243992053618604;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
89160419;4.685617851714689;5833;22.48;1502534.21;6.95;0.0;9.79;100.00;9.00;0.00;-1;0.00;0;-1;1;1502534.21;92500;960000.00;0.00;22.48;-1;363;9.79;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;92500;28.00;299518.00;-1;1.00;1;530149;6.95;0.00;200000.00;100;0.00;5833;1.00;530149;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.685617851714689;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
26233;4.945163654590662;6323;20.11;1509087.43;2.16;0.0;9.55;100.00;14.00;0.00;-1;0.00;0;-1;1;1509087.43;95136;1190400.00;0.00;20.11;-1;363;9.55;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;1.00;363;95136;12.00;109700.00;-1;1.00;1;529923;2.16;0.00;200000.00;100;0.00;6323;1.00;529923;100;4331;com.google.android.inputmethod.latin/com.android.inputmethod.latin.LatinIME;960000.00;0.00;4331;0;4.945163654590662;2514;188;1639;0;34;31.48148148148148;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;1;PRODUCTIVITY
